fold,n_test,epochs_trained,learning_rate,weight_decay,num_nodes,dropout,batch_norm,batch_size,patience,train_c_index,val_c_index,test_c_index,stage,config_id
1,112,13,0.0001,0.001,[4],0.4,False,32,10,0.39039923954372624,0.21444201312910285,,conservative_joint_tuning,1
2,111,11,0.0001,0.001,[4],0.4,False,32,10,0.4289030261348005,0.33488372093023255,,conservative_joint_tuning,1
3,111,11,0.0001,0.001,[4],0.4,False,32,10,0.4260447214076246,0.34498834498834496,,conservative_joint_tuning,1
4,111,11,0.0001,0.001,[4],0.4,False,32,10,0.4144088669950739,0.36122448979591837,,conservative_joint_tuning,1
5,111,11,0.0001,0.001,[4],0.4,False,32,10,0.40080616894497023,0.3091334894613583,,conservative_joint_tuning,1
1,112,13,0.0001,0.001,[4],0.5,False,32,10,0.3902091254752852,0.21663019693654267,,conservative_joint_tuning,2
2,111,11,0.0001,0.001,[4],0.5,False,32,10,0.4289030261348005,0.33488372093023255,,conservative_joint_tuning,2
3,111,11,0.0001,0.001,[4],0.5,False,32,10,0.4260447214076246,0.34498834498834496,,conservative_joint_tuning,2
4,111,11,0.0001,0.001,[4],0.5,False,32,10,0.4144088669950739,0.36122448979591837,,conservative_joint_tuning,2
5,111,11,0.0001,0.001,[4],0.5,False,32,10,0.40080616894497023,0.3091334894613583,,conservative_joint_tuning,2
1,112,13,0.0001,0.001,[4],0.6,False,32,10,0.39077946768060834,0.2188183807439825,,conservative_joint_tuning,3
2,111,11,0.0001,0.001,[4],0.6,False,32,10,0.4289030261348005,0.33488372093023255,,conservative_joint_tuning,3
3,111,11,0.0001,0.001,[4],0.6,False,32,10,0.4260447214076246,0.34498834498834496,,conservative_joint_tuning,3
4,111,11,0.0001,0.001,[4],0.6,False,32,10,0.4144088669950739,0.36122448979591837,,conservative_joint_tuning,3
5,111,11,0.0001,0.001,[4],0.6,False,32,10,0.40080616894497023,0.3091334894613583,,conservative_joint_tuning,3
1,112,12,0.0001,0.001,[8],0.4,False,32,10,0.4779467680608365,0.6258205689277899,,conservative_joint_tuning,4
2,111,12,0.0001,0.001,[8],0.4,False,32,10,0.515302613480055,0.5325581395348837,,conservative_joint_tuning,4
3,111,12,0.0001,0.001,[8],0.4,False,32,10,0.4657258064516129,0.5571095571095571,,conservative_joint_tuning,4
4,111,12,0.0001,0.001,[8],0.4,False,32,10,0.5192939244663383,0.5693877551020409,,conservative_joint_tuning,4
5,111,12,0.0001,0.001,[8],0.4,False,32,10,0.5283911671924291,0.6838407494145199,,conservative_joint_tuning,4
1,112,12,0.0001,0.001,[8],0.5,False,32,10,0.4777566539923954,0.6280087527352297,,conservative_joint_tuning,5
2,111,12,0.0001,0.001,[8],0.5,False,32,10,0.515474552957359,0.5348837209302325,,conservative_joint_tuning,5
3,111,12,0.0001,0.001,[8],0.5,False,32,10,0.4657258064516129,0.5571095571095571,,conservative_joint_tuning,5
4,111,12,0.0001,0.001,[8],0.5,False,32,10,0.5199096880131363,0.5714285714285714,,conservative_joint_tuning,5
5,111,12,0.0001,0.001,[8],0.5,False,32,10,0.5278654048370137,0.6838407494145199,,conservative_joint_tuning,5
1,112,12,0.0001,0.001,[8],0.6,False,32,10,0.4768060836501901,0.6258205689277899,,conservative_joint_tuning,6
2,111,12,0.0001,0.001,[8],0.6,False,32,10,0.514958734525447,0.5395348837209303,,conservative_joint_tuning,6
3,111,12,0.0001,0.001,[8],0.6,False,32,10,0.4659090909090909,0.5571095571095571,,conservative_joint_tuning,6
4,111,12,0.0001,0.001,[8],0.6,False,32,10,0.5194991789819376,0.5673469387755102,,conservative_joint_tuning,6
5,111,12,0.0001,0.001,[8],0.6,False,32,10,0.5278654048370137,0.6861826697892272,,conservative_joint_tuning,6
1,112,11,0.0001,0.001,[16],0.4,False,32,10,0.6313688212927757,0.6805251641137856,,conservative_joint_tuning,7
2,111,12,0.0001,0.001,[16],0.4,False,32,10,0.6291265474552957,0.6511627906976745,,conservative_joint_tuning,7
3,111,12,0.0001,0.001,[16],0.4,False,32,10,0.6506598240469208,0.5407925407925408,,conservative_joint_tuning,7
4,111,12,0.0001,0.001,[16],0.4,False,32,10,0.6426518883415435,0.5183673469387755,,conservative_joint_tuning,7
5,111,12,0.0001,0.001,[16],0.4,False,32,10,0.6447599018576936,0.6182669789227166,,conservative_joint_tuning,7
1,112,11,0.0001,0.001,[16],0.5,False,32,10,0.6313688212927757,0.6805251641137856,,conservative_joint_tuning,8
2,111,12,0.0001,0.001,[16],0.5,False,32,10,0.6263755158184319,0.6488372093023256,,conservative_joint_tuning,8
3,111,12,0.0001,0.001,[16],0.5,False,32,10,0.6486436950146628,0.5407925407925408,,conservative_joint_tuning,8
4,111,12,0.0001,0.001,[16],0.5,False,32,10,0.6426518883415435,0.5183673469387755,,conservative_joint_tuning,8
5,111,12,0.0001,0.001,[16],0.5,False,32,10,0.6435331230283912,0.6182669789227166,,conservative_joint_tuning,8
1,112,11,0.0001,0.001,[16],0.6,False,32,10,0.6313688212927757,0.6805251641137856,,conservative_joint_tuning,9
2,111,12,0.0001,0.001,[16],0.6,False,32,10,0.6263755158184319,0.6511627906976745,,conservative_joint_tuning,9
3,111,12,0.0001,0.001,[16],0.6,False,32,10,0.6477272727272727,0.5407925407925408,,conservative_joint_tuning,9
4,111,12,0.0001,0.001,[16],0.6,False,32,10,0.6424466338259441,0.5163265306122449,,conservative_joint_tuning,9
5,111,12,0.0001,0.001,[16],0.6,False,32,10,0.6421310900806169,0.6182669789227166,,conservative_joint_tuning,9
1,112,12,0.0001,0.001,"[8, 4]",0.4,False,32,10,0.6410646387832699,0.6148796498905909,,conservative_joint_tuning,10
2,111,11,0.0001,0.001,"[8, 4]",0.4,False,32,10,0.6222489683631361,0.5325581395348837,,conservative_joint_tuning,10
3,111,11,0.0001,0.001,"[8, 4]",0.4,False,32,10,0.6240835777126099,0.6456876456876457,,conservative_joint_tuning,10
4,111,11,0.0001,0.001,"[8, 4]",0.4,False,32,10,0.5373563218390804,0.6204081632653061,,conservative_joint_tuning,10
5,111,11,0.0001,0.001,"[8, 4]",0.4,False,32,10,0.6507185418857343,0.5058548009367682,,conservative_joint_tuning,10
1,112,12,0.0001,0.001,"[8, 4]",0.5,False,32,10,0.6378326996197718,0.6170678336980306,,conservative_joint_tuning,11
2,111,11,0.0001,0.001,"[8, 4]",0.5,False,32,10,0.6222489683631361,0.5325581395348837,,conservative_joint_tuning,11
3,111,11,0.0001,0.001,"[8, 4]",0.5,False,32,10,0.6240835777126099,0.6456876456876457,,conservative_joint_tuning,11
4,111,11,0.0001,0.001,"[8, 4]",0.5,False,32,10,0.5373563218390804,0.6204081632653061,,conservative_joint_tuning,11
5,111,11,0.0001,0.001,"[8, 4]",0.5,False,32,10,0.6507185418857343,0.5058548009367682,,conservative_joint_tuning,11
1,112,12,0.0001,0.001,"[8, 4]",0.6,False,32,10,0.6357414448669202,0.6214442013129103,,conservative_joint_tuning,12
2,111,11,0.0001,0.001,"[8, 4]",0.6,False,32,10,0.6222489683631361,0.5325581395348837,,conservative_joint_tuning,12
3,111,11,0.0001,0.001,"[8, 4]",0.6,False,32,10,0.6240835777126099,0.6456876456876457,,conservative_joint_tuning,12
4,111,11,0.0001,0.001,"[8, 4]",0.6,False,32,10,0.5373563218390804,0.6204081632653061,,conservative_joint_tuning,12
5,111,11,0.0001,0.001,"[8, 4]",0.6,False,32,10,0.6507185418857343,0.5058548009367682,,conservative_joint_tuning,12
1,112,13,0.0001,0.01,[4],0.4,False,32,10,0.39039923954372624,0.21444201312910285,,conservative_joint_tuning,13
2,111,11,0.0001,0.01,[4],0.4,False,32,10,0.4289030261348005,0.33488372093023255,,conservative_joint_tuning,13
3,111,11,0.0001,0.01,[4],0.4,False,32,10,0.4260447214076246,0.34498834498834496,,conservative_joint_tuning,13
4,111,11,0.0001,0.01,[4],0.4,False,32,10,0.4144088669950739,0.36122448979591837,,conservative_joint_tuning,13
5,111,11,0.0001,0.01,[4],0.4,False,32,10,0.40080616894497023,0.3091334894613583,,conservative_joint_tuning,13
1,112,13,0.0001,0.01,[4],0.5,False,32,10,0.39039923954372624,0.21663019693654267,,conservative_joint_tuning,14
2,111,11,0.0001,0.01,[4],0.5,False,32,10,0.4289030261348005,0.33488372093023255,,conservative_joint_tuning,14
3,111,11,0.0001,0.01,[4],0.5,False,32,10,0.4260447214076246,0.34498834498834496,,conservative_joint_tuning,14
4,111,11,0.0001,0.01,[4],0.5,False,32,10,0.4144088669950739,0.36122448979591837,,conservative_joint_tuning,14
5,111,11,0.0001,0.01,[4],0.5,False,32,10,0.40080616894497023,0.3091334894613583,,conservative_joint_tuning,14
1,112,13,0.0001,0.01,[4],0.6,False,32,10,0.39077946768060834,0.2188183807439825,,conservative_joint_tuning,15
2,111,11,0.0001,0.01,[4],0.6,False,32,10,0.4289030261348005,0.33488372093023255,,conservative_joint_tuning,15
3,111,11,0.0001,0.01,[4],0.6,False,32,10,0.4260447214076246,0.34498834498834496,,conservative_joint_tuning,15
4,111,11,0.0001,0.01,[4],0.6,False,32,10,0.4144088669950739,0.36122448979591837,,conservative_joint_tuning,15
5,111,11,0.0001,0.01,[4],0.6,False,32,10,0.40080616894497023,0.3091334894613583,,conservative_joint_tuning,15
1,112,12,0.0001,0.01,[8],0.4,False,32,10,0.4779467680608365,0.6280087527352297,,conservative_joint_tuning,16
2,111,12,0.0001,0.01,[8],0.4,False,32,10,0.515302613480055,0.5325581395348837,,conservative_joint_tuning,16
3,111,12,0.0001,0.01,[8],0.4,False,32,10,0.4655425219941349,0.5571095571095571,,conservative_joint_tuning,16
4,111,12,0.0001,0.01,[8],0.4,False,32,10,0.5192939244663383,0.5693877551020409,,conservative_joint_tuning,16
5,111,12,0.0001,0.01,[8],0.4,False,32,10,0.5283911671924291,0.6838407494145199,,conservative_joint_tuning,16
1,112,12,0.0001,0.01,[8],0.5,False,32,10,0.47756653992395437,0.6280087527352297,,conservative_joint_tuning,17
2,111,12,0.0001,0.01,[8],0.5,False,32,10,0.515474552957359,0.5348837209302325,,conservative_joint_tuning,17
3,111,12,0.0001,0.01,[8],0.5,False,32,10,0.4657258064516129,0.5571095571095571,,conservative_joint_tuning,17
4,111,12,0.0001,0.01,[8],0.5,False,32,10,0.5199096880131363,0.5714285714285714,,conservative_joint_tuning,17
5,111,12,0.0001,0.01,[8],0.5,False,32,10,0.5278654048370137,0.6838407494145199,,conservative_joint_tuning,17
1,112,12,0.0001,0.01,[8],0.6,False,32,10,0.4768060836501901,0.6280087527352297,,conservative_joint_tuning,18
2,111,12,0.0001,0.01,[8],0.6,False,32,10,0.514958734525447,0.5395348837209303,,conservative_joint_tuning,18
3,111,12,0.0001,0.01,[8],0.6,False,32,10,0.4659090909090909,0.5571095571095571,,conservative_joint_tuning,18
4,111,12,0.0001,0.01,[8],0.6,False,32,10,0.5197044334975369,0.5673469387755102,,conservative_joint_tuning,18
5,111,12,0.0001,0.01,[8],0.6,False,32,10,0.5280406589554855,0.6861826697892272,,conservative_joint_tuning,18
1,112,11,0.0001,0.01,[16],0.4,False,32,10,0.6313688212927757,0.6805251641137856,,conservative_joint_tuning,19
2,111,12,0.0001,0.01,[16],0.4,False,32,10,0.6291265474552957,0.6511627906976745,,conservative_joint_tuning,19
3,111,12,0.0001,0.01,[16],0.4,False,32,10,0.6506598240469208,0.5407925407925408,,conservative_joint_tuning,19
4,111,12,0.0001,0.01,[16],0.4,False,32,10,0.6426518883415435,0.5183673469387755,,conservative_joint_tuning,19
5,111,12,0.0001,0.01,[16],0.4,False,32,10,0.6447599018576936,0.6182669789227166,,conservative_joint_tuning,19
1,112,11,0.0001,0.01,[16],0.5,False,32,10,0.6313688212927757,0.6805251641137856,,conservative_joint_tuning,20
2,111,12,0.0001,0.01,[16],0.5,False,32,10,0.6262035763411279,0.6488372093023256,,conservative_joint_tuning,20
3,111,12,0.0001,0.01,[16],0.5,False,32,10,0.6486436950146628,0.5407925407925408,,conservative_joint_tuning,20
4,111,12,0.0001,0.01,[16],0.5,False,32,10,0.6426518883415435,0.5183673469387755,,conservative_joint_tuning,20
5,111,12,0.0001,0.01,[16],0.5,False,32,10,0.6435331230283912,0.6182669789227166,,conservative_joint_tuning,20
1,112,11,0.0001,0.01,[16],0.6,False,32,10,0.6313688212927757,0.6805251641137856,,conservative_joint_tuning,21
2,111,12,0.0001,0.01,[16],0.6,False,32,10,0.6263755158184319,0.6511627906976745,,conservative_joint_tuning,21
3,111,12,0.0001,0.01,[16],0.6,False,32,10,0.6479105571847508,0.5407925407925408,,conservative_joint_tuning,21
4,111,12,0.0001,0.01,[16],0.6,False,32,10,0.6424466338259441,0.5163265306122449,,conservative_joint_tuning,21
5,111,12,0.0001,0.01,[16],0.6,False,32,10,0.6421310900806169,0.6182669789227166,,conservative_joint_tuning,21
1,112,12,0.0001,0.01,"[8, 4]",0.4,False,32,10,0.6410646387832699,0.6148796498905909,,conservative_joint_tuning,22
2,111,11,0.0001,0.01,"[8, 4]",0.4,False,32,10,0.6222489683631361,0.5325581395348837,,conservative_joint_tuning,22
3,111,11,0.0001,0.01,"[8, 4]",0.4,False,32,10,0.6240835777126099,0.6456876456876457,,conservative_joint_tuning,22
4,111,11,0.0001,0.01,"[8, 4]",0.4,False,32,10,0.5373563218390804,0.6204081632653061,,conservative_joint_tuning,22
5,111,11,0.0001,0.01,"[8, 4]",0.4,False,32,10,0.6507185418857343,0.5058548009367682,,conservative_joint_tuning,22
1,112,12,0.0001,0.01,"[8, 4]",0.5,False,32,10,0.6378326996197718,0.6170678336980306,,conservative_joint_tuning,23
2,111,11,0.0001,0.01,"[8, 4]",0.5,False,32,10,0.6222489683631361,0.5325581395348837,,conservative_joint_tuning,23
3,111,11,0.0001,0.01,"[8, 4]",0.5,False,32,10,0.6240835777126099,0.6456876456876457,,conservative_joint_tuning,23
4,111,11,0.0001,0.01,"[8, 4]",0.5,False,32,10,0.5373563218390804,0.6204081632653061,,conservative_joint_tuning,23
5,111,11,0.0001,0.01,"[8, 4]",0.5,False,32,10,0.6507185418857343,0.5058548009367682,,conservative_joint_tuning,23
1,112,12,0.0001,0.01,"[8, 4]",0.6,False,32,10,0.6357414448669202,0.6214442013129103,,conservative_joint_tuning,24
2,111,11,0.0001,0.01,"[8, 4]",0.6,False,32,10,0.6222489683631361,0.5325581395348837,,conservative_joint_tuning,24
3,111,11,0.0001,0.01,"[8, 4]",0.6,False,32,10,0.6240835777126099,0.6456876456876457,,conservative_joint_tuning,24
4,111,11,0.0001,0.01,"[8, 4]",0.6,False,32,10,0.5373563218390804,0.6204081632653061,,conservative_joint_tuning,24
5,111,11,0.0001,0.01,"[8, 4]",0.6,False,32,10,0.6507185418857343,0.5058548009367682,,conservative_joint_tuning,24
1,112,13,0.0001,0.03,[4],0.4,False,32,10,0.3902091254752852,0.21444201312910285,,conservative_joint_tuning,25
2,111,11,0.0001,0.03,[4],0.4,False,32,10,0.4289030261348005,0.33488372093023255,,conservative_joint_tuning,25
3,111,11,0.0001,0.03,[4],0.4,False,32,10,0.4260447214076246,0.34498834498834496,,conservative_joint_tuning,25
4,111,11,0.0001,0.03,[4],0.4,False,32,10,0.4144088669950739,0.36122448979591837,,conservative_joint_tuning,25
5,111,11,0.0001,0.03,[4],0.4,False,32,10,0.40080616894497023,0.3091334894613583,,conservative_joint_tuning,25
1,112,13,0.0001,0.03,[4],0.5,False,32,10,0.39039923954372624,0.21663019693654267,,conservative_joint_tuning,26
2,111,11,0.0001,0.03,[4],0.5,False,32,10,0.4289030261348005,0.33488372093023255,,conservative_joint_tuning,26
3,111,11,0.0001,0.03,[4],0.5,False,32,10,0.4260447214076246,0.34498834498834496,,conservative_joint_tuning,26
4,111,11,0.0001,0.03,[4],0.5,False,32,10,0.4144088669950739,0.36122448979591837,,conservative_joint_tuning,26
5,111,11,0.0001,0.03,[4],0.5,False,32,10,0.40080616894497023,0.3091334894613583,,conservative_joint_tuning,26
1,112,13,0.0001,0.03,[4],0.6,False,32,10,0.3905893536121673,0.2188183807439825,,conservative_joint_tuning,27
2,111,11,0.0001,0.03,[4],0.6,False,32,10,0.4289030261348005,0.33488372093023255,,conservative_joint_tuning,27
3,111,11,0.0001,0.03,[4],0.6,False,32,10,0.4260447214076246,0.34498834498834496,,conservative_joint_tuning,27
4,111,11,0.0001,0.03,[4],0.6,False,32,10,0.4144088669950739,0.36122448979591837,,conservative_joint_tuning,27
5,111,11,0.0001,0.03,[4],0.6,False,32,10,0.40080616894497023,0.3091334894613583,,conservative_joint_tuning,27
1,112,12,0.0001,0.03,[8],0.4,False,32,10,0.4781368821292776,0.6280087527352297,,conservative_joint_tuning,28
2,111,12,0.0001,0.03,[8],0.4,False,32,10,0.515302613480055,0.5325581395348837,,conservative_joint_tuning,28
3,111,12,0.0001,0.03,[8],0.4,False,32,10,0.4655425219941349,0.5571095571095571,,conservative_joint_tuning,28
4,111,12,0.0001,0.03,[8],0.4,False,32,10,0.5192939244663383,0.5693877551020409,,conservative_joint_tuning,28
5,111,12,0.0001,0.03,[8],0.4,False,32,10,0.5283911671924291,0.6838407494145199,,conservative_joint_tuning,28
1,112,12,0.0001,0.03,[8],0.5,False,32,10,0.47756653992395437,0.6258205689277899,,conservative_joint_tuning,29
2,111,12,0.0001,0.03,[8],0.5,False,32,10,0.515474552957359,0.5348837209302325,,conservative_joint_tuning,29
3,111,12,0.0001,0.03,[8],0.5,False,32,10,0.4657258064516129,0.5571095571095571,,conservative_joint_tuning,29
4,111,12,0.0001,0.03,[8],0.5,False,32,10,0.5201149425287356,0.5714285714285714,,conservative_joint_tuning,29
5,111,12,0.0001,0.03,[8],0.5,False,32,10,0.5278654048370137,0.6838407494145199,,conservative_joint_tuning,29
1,112,12,0.0001,0.03,[8],0.6,False,32,10,0.4768060836501901,0.6280087527352297,,conservative_joint_tuning,30
2,111,12,0.0001,0.03,[8],0.6,False,32,10,0.514958734525447,0.5395348837209303,,conservative_joint_tuning,30
3,111,12,0.0001,0.03,[8],0.6,False,32,10,0.4655425219941349,0.5571095571095571,,conservative_joint_tuning,30
4,111,12,0.0001,0.03,[8],0.6,False,32,10,0.5197044334975369,0.5673469387755102,,conservative_joint_tuning,30
5,111,12,0.0001,0.03,[8],0.6,False,32,10,0.5278654048370137,0.6861826697892272,,conservative_joint_tuning,30
1,112,11,0.0001,0.03,[16],0.4,False,32,10,0.6313688212927757,0.6805251641137856,,conservative_joint_tuning,31
2,111,12,0.0001,0.03,[16],0.4,False,32,10,0.6291265474552957,0.6511627906976745,,conservative_joint_tuning,31
3,111,12,0.0001,0.03,[16],0.4,False,32,10,0.6504765395894428,0.5407925407925408,,conservative_joint_tuning,31
4,111,12,0.0001,0.03,[16],0.4,False,32,10,0.6426518883415435,0.5183673469387755,,conservative_joint_tuning,31
5,111,12,0.0001,0.03,[16],0.4,False,32,10,0.6445846477392219,0.6182669789227166,,conservative_joint_tuning,31
1,112,11,0.0001,0.03,[16],0.5,False,32,10,0.6313688212927757,0.6805251641137856,,conservative_joint_tuning,32
2,111,12,0.0001,0.03,[16],0.5,False,32,10,0.6262035763411279,0.6488372093023256,,conservative_joint_tuning,32
3,111,12,0.0001,0.03,[16],0.5,False,32,10,0.6486436950146628,0.5407925407925408,,conservative_joint_tuning,32
4,111,12,0.0001,0.03,[16],0.5,False,32,10,0.6426518883415435,0.5183673469387755,,conservative_joint_tuning,32
5,111,12,0.0001,0.03,[16],0.5,False,32,10,0.6435331230283912,0.6182669789227166,,conservative_joint_tuning,32
1,112,11,0.0001,0.03,[16],0.6,False,32,10,0.6313688212927757,0.6805251641137856,,conservative_joint_tuning,33
2,111,12,0.0001,0.03,[16],0.6,False,32,10,0.6263755158184319,0.6511627906976745,,conservative_joint_tuning,33
3,111,12,0.0001,0.03,[16],0.6,False,32,10,0.6477272727272727,0.5407925407925408,,conservative_joint_tuning,33
4,111,12,0.0001,0.03,[16],0.6,False,32,10,0.6424466338259441,0.5163265306122449,,conservative_joint_tuning,33
5,111,12,0.0001,0.03,[16],0.6,False,32,10,0.6423063441990887,0.6182669789227166,,conservative_joint_tuning,33
1,112,12,0.0001,0.03,"[8, 4]",0.4,False,32,10,0.6408745247148289,0.6148796498905909,,conservative_joint_tuning,34
2,111,11,0.0001,0.03,"[8, 4]",0.4,False,32,10,0.6222489683631361,0.5325581395348837,,conservative_joint_tuning,34
3,111,11,0.0001,0.03,"[8, 4]",0.4,False,32,10,0.6240835777126099,0.6456876456876457,,conservative_joint_tuning,34
4,111,11,0.0001,0.03,"[8, 4]",0.4,False,32,10,0.5373563218390804,0.6204081632653061,,conservative_joint_tuning,34
5,111,11,0.0001,0.03,"[8, 4]",0.4,False,32,10,0.6507185418857343,0.5058548009367682,,conservative_joint_tuning,34
1,112,12,0.0001,0.03,"[8, 4]",0.5,False,32,10,0.6378326996197718,0.6192560175054704,,conservative_joint_tuning,35
2,111,11,0.0001,0.03,"[8, 4]",0.5,False,32,10,0.6222489683631361,0.5325581395348837,,conservative_joint_tuning,35
3,111,11,0.0001,0.03,"[8, 4]",0.5,False,32,10,0.6240835777126099,0.6456876456876457,,conservative_joint_tuning,35
4,111,11,0.0001,0.03,"[8, 4]",0.5,False,32,10,0.5373563218390804,0.6204081632653061,,conservative_joint_tuning,35
5,111,11,0.0001,0.03,"[8, 4]",0.5,False,32,10,0.6507185418857343,0.5058548009367682,,conservative_joint_tuning,35
1,112,12,0.0001,0.03,"[8, 4]",0.6,False,32,10,0.635361216730038,0.6192560175054704,,conservative_joint_tuning,36
2,111,11,0.0001,0.03,"[8, 4]",0.6,False,32,10,0.6222489683631361,0.5325581395348837,,conservative_joint_tuning,36
3,111,11,0.0001,0.03,"[8, 4]",0.6,False,32,10,0.6240835777126099,0.6456876456876457,,conservative_joint_tuning,36
